PARAMETERS,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES
"45, 17.5, 45",−156.50 USD,−0.02%,"2,789.00 USD",0.28%,3,33.33%,0.034,0,,0
"45, 17.5, 55","−4,380.00 USD",−0.44%,"4,519.50 USD",0.45%,4,25.00%,0.012,0,,0
"45, 17.5, 65","−4,258.00 USD",−0.43%,"4,665.50 USD",0.47%,4,25.00%,0.011,0,,0
"45, 17.5, 75",−482.00 USD,−0.05%,"2,827.50 USD",0.28%,5,40.00%,0.066,0,,0
"45, 17.5, 85","+6,173.50 USD",+0.62%,878.50 USD,0.09%,5,80.00%,41,0,,0
"45, 17.5, 95","+6,409.50 USD",+0.64%,878.50 USD,0.09%,5,80.00%,27.526,0,,0
"45, 18, 105",+151.00 USD,+0.02%,577.50 USD,0.06%,8,50.00%,1.479,0,,0
"45, 18, 115",−156.00 USD,−0.02%,570.00 USD,0.06%,6,50.00%,0.493,0,,0
"45, 18, 125","+5,138.50 USD",+0.51%,"1,072.00 USD",0.11%,6,66.67%,8.432,0,,0
"45, 18, 135","+5,113.00 USD",+0.51%,"1,072.00 USD",0.11%,6,66.67%,8.432,0,,0
"45, 18, 145","+5,104.00 USD",+0.51%,"1,072.00 USD",0.11%,6,66.67%,8.432,0,,0
"45, 18, 25",−47.50 USD,0.00%,111.00 USD,0.01%,2,0.00%,0,0,,0
"45, 18, 35",−68.00 USD,−0.01%,111.00 USD,0.01%,2,0.00%,0,0,,0
"45, 18, 45",−84.00 USD,−0.01%,153.50 USD,0.02%,4,25.00%,0.325,0,,0
"45, 18, 55",−91.50 USD,−0.01%,161.00 USD,0.02%,4,25.00%,0.307,0,,0
"45, 18, 65",−91.50 USD,−0.01%,161.00 USD,0.02%,4,25.00%,0.307,0,,0
"45, 18, 75",−86.00 USD,−0.01%,211.00 USD,0.02%,5,40.00%,0.348,0,,0
"45, 18, 85",−190.50 USD,−0.02%,527.50 USD,0.05%,7,42.86%,0.281,0,,0
"45, 18, 95",+151.00 USD,+0.02%,577.50 USD,0.06%,8,50.00%,1.479,0,,0
"45, 18.5, 105","+1,525.00 USD",+0.15%,583.50 USD,0.06%,5,40.00%,4.567,0,,0
"45, 18.5, 115",−525.50 USD,−0.05%,668.00 USD,0.07%,5,20.00%,0.213,0,,0
"45, 18.5, 125",−562.00 USD,−0.06%,679.50 USD,0.07%,5,20.00%,0.173,0,,0
"45, 18.5, 135",−533.50 USD,−0.05%,947.50 USD,0.09%,6,33.33%,0.215,0,,0
"45, 18.5, 145",−645.00 USD,−0.06%,"1,059.00 USD",0.11%,6,33.33%,0.185,0,,0
"45, 18.5, 25","+4,715.50 USD",+0.47%,542.50 USD,0.05%,2,0.00%,0,0,,0
"45, 18.5, 35","+1,696.00 USD",+0.17%,501.00 USD,0.05%,4,50.00%,6.779,0,,0
"45, 18.5, 45","+1,673.00 USD",+0.17%,524.00 USD,0.05%,4,50.00%,6.286,0,,0
"45, 18.5, 55","+1,673.00 USD",+0.17%,524.00 USD,0.05%,4,50.00%,6.286,0,,0
"45, 18.5, 65","+1,624.50 USD",+0.16%,546.50 USD,0.05%,4,25.00%,5.792,0,,0
"45, 18.5, 75","+1,619.50 USD",+0.16%,551.50 USD,0.06%,4,25.00%,5.708,0,,0
"45, 18.5, 85","+1,484.50 USD",+0.15%,583.50 USD,0.06%,4,25.00%,4.473,0,,0
"45, 18.5, 95","+1,484.50 USD",+0.15%,583.50 USD,0.06%,4,25.00%,4.473,0,,0
"45, 19, 105",−717.50 USD,−0.07%,750.00 USD,0.07%,5,20.00%,0.035,0,,0
"45, 19, 115",−673.00 USD,−0.07%,679.50 USD,0.07%,4,0.00%,0,0,,0
"45, 19, 125",−724.50 USD,−0.07%,731.00 USD,0.07%,4,0.00%,0,0,,0
"45, 19, 135",−724.50 USD,−0.07%,731.00 USD,0.07%,4,0.00%,0,0,,0
"45, 19, 145",−857.50 USD,−0.09%,864.00 USD,0.09%,4,0.00%,0,0,,0
"45, 19, 25",+877.50 USD,+0.09%,244.50 USD,0.02%,3,33.33%,6.351,0,,0
"45, 19, 35",+877.50 USD,+0.09%,244.50 USD,0.02%,3,33.33%,6.351,0,,0
"45, 19, 45",+877.50 USD,+0.09%,244.50 USD,0.02%,3,33.33%,6.351,0,,0
"45, 19, 55",−485.50 USD,−0.05%,492.00 USD,0.05%,4,0.00%,0,0,,0
"45, 19, 65",−485.50 USD,−0.05%,492.00 USD,0.05%,4,0.00%,0,0,,0
"45, 19, 75",−759.50 USD,−0.08%,766.00 USD,0.08%,5,0.00%,0,0,,0
"45, 19, 85",−785.50 USD,−0.08%,792.00 USD,0.08%,5,0.00%,0,0,,0
"45, 19, 95",−712.50 USD,−0.07%,745.00 USD,0.07%,5,20.00%,0.035,0,,0
"45, 19.5, 105",−547.00 USD,−0.05%,570.50 USD,0.06%,8,25.00%,0.243,0,,0
"45, 19.5, 115","−4,827.00 USD",−0.48%,"6,808.50 USD",0.68%,5,0.00%,0,0,,0
"45, 19.5, 125","−4,827.00 USD",−0.48%,"6,808.50 USD",0.68%,5,0.00%,0,0,,0
"45, 19.5, 135","−4,827.00 USD",−0.48%,"6,808.50 USD",0.68%,5,0.00%,0,0,,0
"45, 19.5, 145","−4,827.00 USD",−0.48%,"6,808.50 USD",0.68%,5,0.00%,0,0,,0
"45, 19.5, 25",+66.50 USD,+0.01%,98.00 USD,0.01%,2,50.00%,3.558,0,,0
"45, 19.5, 35",+20.00 USD,+0.00%,98.00 USD,0.01%,3,33.33%,1.276,0,,0
"45, 19.5, 45",−157.00 USD,−0.02%,241.50 USD,0.02%,5,20.00%,0.371,0,,0
