PARAMETERS,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES
"25, 14.5, 55",−149.00 USD,−0.01%,788.50 USD,0.08%,9,22.22%,0.63,0,,0
"25, 14.5, 65",−192.00 USD,−0.02%,788.50 USD,0.08%,9,22.22%,0.542,0,,0
"25, 14.5, 75","−1,228.50 USD",−0.12%,"1,795.50 USD",0.18%,12,16.67%,0.156,0,,0
"25, 14.5, 85","−1,360.00 USD",−0.14%,"1,924.50 USD",0.19%,13,15.38%,0.142,0,,0
"25, 14.5, 95","−1,380.50 USD",−0.14%,"1,945.00 USD",0.19%,13,15.38%,0.14,0,,0
"25, 15, 105","−1,084.50 USD",−0.11%,"1,382.00 USD",0.14%,14,21.43%,0.061,0,,0
"25, 15, 115","−2,228.50 USD",−0.22%,"2,633.00 USD",0.26%,17,11.76%,0.021,0,,0
"25, 15, 125","−1,700.50 USD",−0.17%,"2,105.00 USD",0.21%,15,20.00%,0.073,0,,0
"25, 15, 135","−1,700.50 USD",−0.17%,"2,105.00 USD",0.21%,15,20.00%,0.073,0,,0
"25, 15, 145","−1,782.00 USD",−0.18%,"2,186.50 USD",0.22%,15,20.00%,0.07,0,,0
"25, 15, 25",−806.50 USD,−0.08%,"1,614.00 USD",0.16%,5,0.00%,0,0,,0
"25, 15, 35",−398.50 USD,−0.04%,470.50 USD,0.05%,9,11.11%,0.052,0,,0
"25, 15, 45",−319.00 USD,−0.03%,499.50 USD,0.05%,10,30.00%,0.255,0,,0
"25, 15, 55",−329.50 USD,−0.03%,510.00 USD,0.05%,11,27.27%,0.249,0,,0
"25, 15, 65",−640.50 USD,−0.06%,977.00 USD,0.10%,13,23.08%,0.145,0,,0
"25, 15, 75",−666.00 USD,−0.07%,"1,002.50 USD",0.10%,13,23.08%,0.141,0,,0
"25, 15, 85",−758.00 USD,−0.08%,"1,055.50 USD",0.11%,13,23.08%,0.085,0,,0
"25, 15, 95",−829.50 USD,−0.08%,"1,127.00 USD",0.11%,13,23.08%,0.078,0,,0
"25, 15.5, 105",+327.00 USD,+0.03%,"1,228.00 USD",0.12%,11,18.18%,1.305,0,,0
"25, 15.5, 115",+294.50 USD,+0.03%,"1,260.50 USD",0.13%,12,25.00%,1.264,0,,0
"25, 15.5, 125","−1,019.50 USD",−0.10%,"1,260.50 USD",0.13%,12,25.00%,0.086,0,,0
"25, 15.5, 135","−1,130.00 USD",−0.11%,"1,332.00 USD",0.13%,12,25.00%,0.078,0,,0
"25, 15.5, 145","−1,274.00 USD",−0.13%,"1,438.50 USD",0.14%,12,16.67%,0.055,0,,0
"25, 15.5, 25",−177.50 USD,−0.02%,279.50 USD,0.03%,2,0.00%,0,0,,0
"25, 15.5, 35",−428.00 USD,−0.04%,530.00 USD,0.05%,3,0.00%,0,0,,0
"25, 15.5, 45",−536.00 USD,−0.05%,638.00 USD,0.06%,5,0.00%,0,0,,0
"25, 15.5, 55",−658.50 USD,−0.07%,760.50 USD,0.08%,6,0.00%,0,0,,0
"25, 15.5, 65",+683.50 USD,+0.07%,795.00 USD,0.08%,8,25.00%,1.956,0,,0
"25, 15.5, 75",+632.50 USD,+0.06%,846.00 USD,0.08%,8,25.00%,1.826,0,,0
"25, 15.5, 85",+592.00 USD,+0.06%,886.50 USD,0.09%,8,25.00%,1.734,0,,0
"25, 15.5, 95",+495.00 USD,+0.05%,"1,060.00 USD",0.11%,10,20.00%,1.548,0,,0
"25, 16, 105","+1,903.00 USD",+0.19%,"1,010.00 USD",0.10%,10,30.00%,2.711,0,,0
"25, 16, 115","+1,809.50 USD",+0.18%,"1,052.50 USD",0.10%,10,30.00%,2.533,0,,0
"25, 16, 125","+1,362.50 USD",+0.14%,"1,159.50 USD",0.12%,10,30.00%,2.109,0,,0
"25, 16, 135","+1,284.50 USD",+0.13%,"1,237.50 USD",0.12%,11,27.27%,1.983,0,,0
"25, 16, 145","+1,284.50 USD",+0.13%,"1,237.50 USD",0.12%,11,27.27%,1.983,0,,0
"25, 16, 25","+4,349.00 USD",+0.43%,242.00 USD,0.02%,4,50.00%,35.242,0,,0
"25, 16, 35","+2,351.50 USD",+0.24%,225.00 USD,0.02%,5,40.00%,9.582,0,,0
"25, 16, 45","+2,795.00 USD",+0.28%,603.00 USD,0.06%,6,50.00%,11.201,0,,0
"25, 16, 55","+2,624.50 USD",+0.26%,603.00 USD,0.06%,7,42.86%,7.146,0,,0
"25, 16, 65","+2,583.00 USD",+0.26%,603.00 USD,0.06%,7,42.86%,6.715,0,,0
"25, 16, 75","+2,123.50 USD",+0.21%,828.50 USD,0.08%,9,33.33%,3.33,0,,0
"25, 16, 85","+2,070.50 USD",+0.21%,842.50 USD,0.08%,9,33.33%,3.191,0,,0
"25, 16, 95","+1,945.00 USD",+0.19%,968.00 USD,0.10%,10,30.00%,2.817,0,,0
"25, 16.5, 105","−1,256.00 USD",−0.13%,"1,341.00 USD",0.13%,15,20.00%,0.255,0,,0
"25, 16.5, 115","−1,264.50 USD",−0.13%,"1,349.50 USD",0.13%,15,20.00%,0.254,0,,0
"25, 16.5, 125","−1,153.00 USD",−0.12%,"1,363.50 USD",0.14%,13,23.08%,0.272,0,,0
"25, 16.5, 135","−1,278.50 USD",−0.13%,"1,489.00 USD",0.15%,13,23.08%,0.252,0,,0
"25, 16.5, 145","−1,320.50 USD",−0.13%,"1,531.00 USD",0.15%,13,23.08%,0.246,0,,0
"25, 16.5, 25",−7.00 USD,0.00%,370.50 USD,0.04%,1,0.00%,0,0,,0
"25, 16.5, 35",−231.00 USD,−0.02%,409.50 USD,0.04%,4,25.00%,0.045,0,,0
"25, 16.5, 45",−82.00 USD,−0.01%,319.50 USD,0.03%,6,33.33%,0.764,0,,0
"25, 16.5, 55",−52.50 USD,−0.01%,335.50 USD,0.03%,7,42.86%,0.855,0,,0
"25, 16.5, 65",−533.50 USD,−0.05%,644.50 USD,0.06%,9,33.33%,0.362,0,,0
"25, 16.5, 75",−551.00 USD,−0.06%,662.00 USD,0.07%,9,33.33%,0.354,0,,0
"25, 16.5, 85",−523.00 USD,−0.05%,710.50 USD,0.07%,11,36.36%,0.472,0,,0
"25, 16.5, 95",−523.00 USD,−0.05%,710.50 USD,0.07%,11,36.36%,0.472,0,,0
"25, 17, 105","+4,097.00 USD",+0.41%,"1,182.00 USD",0.12%,6,50.00%,9.057,0,,0
"25, 17, 115","+3,849.50 USD",+0.38%,"1,182.00 USD",0.12%,8,50.00%,5.851,0,,0
"25, 17, 125","+3,845.50 USD",+0.38%,"1,182.00 USD",0.12%,7,42.86%,6.06,0,,0
"25, 17, 135","+4,031.50 USD",+0.40%,"1,182.00 USD",0.12%,8,50.00%,5.729,0,,0
"25, 17, 145","+2,175.00 USD",+0.22%,"1,182.00 USD",0.12%,8,25.00%,3.061,0,,0
"25, 17, 25","−2,724.00 USD",−0.27%,"3,175.00 USD",0.32%,1,0.00%,0,0,,0
"25, 17, 35",−423.50 USD,−0.04%,"3,127.50 USD",0.31%,2,50.00%,44.726,0,,0
"25, 17, 45","+4,369.50 USD",+0.44%,"1,182.00 USD",0.12%,5,60.00%,19.515,0,,0
"25, 17, 55","+4,330.50 USD",+0.43%,"1,182.00 USD",0.12%,5,60.00%,16.747,0,,0
"25, 17, 65","+4,330.50 USD",+0.43%,"1,182.00 USD",0.12%,5,60.00%,16.747,0,,0
"25, 17, 75","+4,314.50 USD",+0.43%,"1,182.00 USD",0.12%,5,60.00%,15.826,0,,0
"25, 17, 85","+4,131.00 USD",+0.41%,"1,182.00 USD",0.12%,6,50.00%,9.706,0,,0
"25, 17, 95","+4,113.50 USD",+0.41%,"1,182.00 USD",0.12%,6,50.00%,9.361,0,,0
"25, 17.5, 105","+2,532.00 USD",+0.25%,"1,182.00 USD",0.12%,13,46.15%,4.732,0,,0
"25, 17.5, 115","+2,331.00 USD",+0.23%,"1,182.00 USD",0.12%,14,42.86%,3.65,0,,0
"25, 17.5, 125","+2,504.50 USD",+0.25%,"1,182.00 USD",0.12%,9,44.44%,5.213,0,,0
"25, 17.5, 135","+2,504.50 USD",+0.25%,"1,182.00 USD",0.12%,9,44.44%,5.213,0,,0
"25, 17.5, 145","+2,504.50 USD",+0.25%,"1,182.00 USD",0.12%,9,44.44%,5.213,0,,0
"25, 17.5, 25",+29.50 USD,+0.00%,78.00 USD,0.01%,2,50.00%,1.843,0,,0
"25, 17.5, 35",−96.00 USD,−0.01%,203.50 USD,0.02%,3,33.33%,0.402,0,,0
"25, 17.5, 45","−13,727.00 USD",−1.37%,"13,806.50 USD",1.38%,3,33.33%,0.373,0,,0
"25, 17.5, 55","−10,210.50 USD",−1.02%,"12,843.00 USD",1.28%,4,25.00%,0.006,0,,0
"25, 17.5, 65","−11,189.50 USD",−1.12%,"11,597.00 USD",1.16%,6,33.33%,0.125,0,,0
"25, 17.5, 75","−2,178.50 USD",−0.22%,"4,151.50 USD",0.41%,7,57.14%,0.534,0,,0
"25, 17.5, 85","+1,117.00 USD",+0.11%,"1,286.50 USD",0.13%,10,50.00%,3.455,0,,0
"25, 17.5, 95",+893.50 USD,+0.09%,"1,405.00 USD",0.14%,12,41.67%,2.317,0,,0
"25, 18, 105",+935.50 USD,+0.09%,"1,345.00 USD",0.13%,7,28.57%,2.957,0,,0
"25, 18, 115","+1,305.00 USD",+0.13%,"1,114.00 USD",0.11%,8,62.50%,5.446,0,,0
"25, 18, 125",+866.50 USD,+0.09%,"1,414.00 USD",0.14%,9,33.33%,2.46,0,,0
"25, 18, 135",+788.00 USD,+0.08%,"1,414.00 USD",0.14%,9,33.33%,2.173,0,,0
"25, 18, 145",+614.00 USD,+0.06%,"1,414.00 USD",0.14%,11,36.36%,1.716,0,,0
"25, 18, 25","−12,830.00 USD",−1.28%,"13,216.50 USD",1.32%,1,0.00%,0,0,,0
"25, 18, 35","−12,723.00 USD",−1.27%,"13,216.50 USD",1.32%,1,0.00%,0,0,,0
"25, 18, 45",−97.50 USD,−0.01%,186.00 USD,0.02%,2,0.00%,0,0,,0
"25, 18, 55",−224.00 USD,−0.02%,313.50 USD,0.03%,3,0.00%,0,0,,0
"25, 18, 65",−293.50 USD,−0.03%,383.00 USD,0.04%,4,0.00%,0,0,,0
"25, 18, 75",−293.50 USD,−0.03%,383.00 USD,0.04%,4,0.00%,0,0,,0
"25, 18, 85",−439.00 USD,−0.04%,528.50 USD,0.05%,5,0.00%,0,0,,0
"25, 18, 95",−439.00 USD,−0.04%,528.50 USD,0.05%,5,0.00%,0,0,,0
"25, 18.5, 105",−19.50 USD,0.00%,933.00 USD,0.09%,7,28.57%,0.951,0,,0
"25, 18.5, 115",+54.50 USD,+0.01%,818.50 USD,0.08%,3,33.33%,1.194,0,,0
"25, 18.5, 125",+54.50 USD,+0.01%,818.50 USD,0.08%,3,33.33%,1.194,0,,0
"25, 18.5, 135",+54.50 USD,+0.01%,818.50 USD,0.08%,3,33.33%,1.194,0,,0
"25, 18.5, 145","+1,698.00 USD",+0.17%,878.50 USD,0.09%,5,60.00%,7.053,0,,0
"25, 18.5, 25",+375.50 USD,+0.04%,664.50 USD,0.07%,2,100.00%,,0,,0
"25, 18.5, 35",+301.00 USD,+0.03%,739.00 USD,0.07%,4,50.00%,5.04,0,,0
"25, 18.5, 45",+301.00 USD,+0.03%,739.00 USD,0.07%,4,50.00%,5.04,0,,0
"25, 18.5, 55",+280.50 USD,+0.03%,759.50 USD,0.08%,4,50.00%,3.953,0,,0
"25, 18.5, 65","+1,023.00 USD",+0.10%,794.50 USD,0.08%,5,60.00%,8.869,0,,0
"25, 18.5, 75","+1,023.00 USD",+0.10%,794.50 USD,0.08%,5,60.00%,8.869,0,,0
"25, 18.5, 85",+164.00 USD,+0.02%,876.00 USD,0.09%,6,33.33%,1.775,0,,0
"25, 18.5, 95",−19.50 USD,0.00%,933.00 USD,0.09%,7,28.57%,0.951,0,,0
"25, 19, 105","+6,419.00 USD",+0.64%,880.50 USD,0.09%,10,30.00%,7.327,0,,0
"25, 19, 115","+6,566.00 USD",+0.66%,878.50 USD,0.09%,5,40.00%,9.839,0,,0
"25, 19, 125","+6,250.00 USD",+0.62%,878.50 USD,0.09%,5,40.00%,9.392,0,,0
"25, 19, 135","+6,274.00 USD",+0.63%,878.50 USD,0.09%,5,40.00%,9.392,0,,0
"25, 19, 145","+6,337.00 USD",+0.63%,878.50 USD,0.09%,5,40.00%,9.392,0,,0
"25, 19, 25",+538.00 USD,+0.05%,"2,774.00 USD",0.28%,5,40.00%,2.177,0,,0
"25, 19, 35","+4,319.00 USD",+0.43%,"2,761.50 USD",0.28%,7,42.86%,5.227,0,,0
"25, 19, 45","+2,434.50 USD",+0.24%,"2,922.00 USD",0.29%,7,14.29%,0.108,0,,0
"25, 19, 55","+2,965.00 USD",+0.30%,"2,960.50 USD",0.30%,7,14.29%,0.102,0,,0
"25, 19, 65","+5,850.50 USD",+0.58%,878.50 USD,0.09%,9,33.33%,10.385,0,,0
"25, 19, 75","+5,705.00 USD",+0.57%,878.50 USD,0.09%,9,33.33%,9.376,0,,0
"25, 19, 85","+5,985.50 USD",+0.60%,878.50 USD,0.09%,10,40.00%,8.624,0,,0
"25, 19, 95","+6,313.50 USD",+0.63%,878.50 USD,0.09%,10,40.00%,7.843,0,,0
"25, 19.5, 105","+5,735.50 USD",+0.57%,"1,264.50 USD",0.13%,10,10.00%,4.127,0,,0
"25, 19.5, 115","+6,015.00 USD",+0.60%,"1,097.50 USD",0.11%,8,12.50%,5.747,0,,0
"25, 19.5, 125","+5,598.00 USD",+0.56%,"1,211.50 USD",0.12%,8,12.50%,4.533,0,,0
"25, 19.5, 135","+5,510.00 USD",+0.55%,"1,211.50 USD",0.12%,8,12.50%,4.533,0,,0
"25, 19.5, 145","+5,800.50 USD",+0.58%,"1,211.50 USD",0.12%,8,12.50%,4.533,0,,0
"25, 19.5, 25","−10,975.00 USD",−1.10%,"11,137.50 USD",1.11%,3,0.00%,0,0,,0
"25, 19.5, 35","−10,993.00 USD",−1.10%,"11,155.50 USD",1.12%,3,0.00%,0,0,,0
"25, 19.5, 45","−10,149.50 USD",−1.01%,"10,556.00 USD",1.06%,6,0.00%,0,0,,0
"25, 19.5, 55","−10,187.00 USD",−1.02%,"10,582.00 USD",1.06%,6,0.00%,0,0,,0
"25, 19.5, 65","+2,759.50 USD",+0.28%,397.00 USD,0.04%,7,14.29%,0.07,0,,0
"25, 19.5, 75","+2,580.00 USD",+0.26%,518.50 USD,0.05%,8,12.50%,0.053,0,,0
"25, 19.5, 85","+2,887.00 USD",+0.29%,518.50 USD,0.05%,8,12.50%,0.053,0,,0
"25, 19.5, 95","+3,187.00 USD",+0.32%,520.50 USD,0.05%,8,0.00%,0,0,,0
"25, 20, 105","+2,748.50 USD",+0.28%,"1,079.00 USD",0.11%,8,12.50%,0.005,0,,0
"25, 20, 115","+5,033.50 USD",+0.50%,755.00 USD,0.08%,8,25.00%,2.218,0,,0
"25, 20, 125","+4,718.00 USD",+0.47%,755.00 USD,0.08%,8,25.00%,2.218,0,,0
"25, 20, 135","+7,265.50 USD",+0.73%,"1,181.00 USD",0.12%,10,30.00%,4.685,0,,0
"25, 20, 145","+7,308.50 USD",+0.73%,"1,181.00 USD",0.12%,10,30.00%,4.534,0,,0
"25, 20, 25","+2,569.00 USD",+0.26%,578.00 USD,0.06%,4,50.00%,10.376,0,,0
"25, 20, 35",+557.00 USD,+0.06%,445.50 USD,0.04%,5,40.00%,2.312,0,,0
"25, 20, 45",−641.00 USD,−0.06%,645.50 USD,0.06%,6,16.67%,0.009,0,,0
"25, 20, 55",+70.50 USD,+0.01%,"2,165.00 USD",0.22%,6,33.33%,1.141,0,,0
"25, 20, 65",+70.50 USD,+0.01%,"2,165.00 USD",0.22%,6,33.33%,1.141,0,,0
"25, 20, 75",−833.50 USD,−0.08%,838.00 USD,0.08%,8,12.50%,0.007,0,,0
"25, 20, 85",−896.50 USD,−0.09%,901.00 USD,0.09%,8,12.50%,0.006,0,,0
"25, 20, 95","−1,056.00 USD",−0.11%,"1,060.50 USD",0.11%,8,12.50%,0.005,0,,0
"25, 3, 105",−149.50 USD,−0.01%,"3,282.50 USD",0.33%,176,31.25%,0.989,0,,0
"25, 3, 115","+1,959.50 USD",+0.20%,"3,121.50 USD",0.31%,184,33.15%,1.13,0,,0
"25, 3, 125",+636.00 USD,+0.06%,"3,688.00 USD",0.37%,138,30.43%,1.052,0,,0
"25, 3, 135",−518.50 USD,−0.05%,"4,334.50 USD",0.43%,144,29.86%,0.962,0,,0
"25, 3, 145",−202.50 USD,−0.02%,"3,771.50 USD",0.38%,150,28.67%,0.973,0,,0
"25, 3, 25",−932.00 USD,−0.09%,"3,986.00 USD",0.40%,74,22.97%,0.841,0,,0
"25, 3, 35","+3,212.00 USD",+0.32%,"2,207.50 USD",0.22%,93,23.66%,1.386,0,,0
"25, 3, 45","+4,700.50 USD",+0.47%,"1,467.00 USD",0.15%,116,28.45%,1.635,0,,0
"25, 3, 55","+5,589.00 USD",+0.56%,"2,185.50 USD",0.22%,130,30.00%,1.614,0,,0
"25, 3, 65","+5,082.00 USD",+0.51%,"2,494.50 USD",0.25%,143,28.67%,1.366,0,,0
"25, 3, 75","+1,915.50 USD",+0.19%,"5,199.00 USD",0.52%,153,30.07%,1.002,0,,0
"25, 3, 85","−2,028.50 USD",−0.20%,"5,861.50 USD",0.59%,161,31.06%,0.84,0,,0
"25, 3, 95",−779.50 USD,−0.08%,"3,979.00 USD",0.40%,166,31.33%,0.936,0,,0
"25, 3.5, 105","−2,254.50 USD",−0.22%,"4,983.00 USD",0.50%,163,22.70%,0.678,0,,0
"25, 3.5, 115","−2,636.00 USD",−0.26%,"5,398.00 USD",0.54%,167,23.95%,0.673,0,,0
"25, 3.5, 125","+1,195.00 USD",+0.12%,"4,777.00 USD",0.48%,120,25.83%,0.853,0,,0
"25, 3.5, 135","+1,409.00 USD",+0.14%,"4,419.00 USD",0.44%,122,29.51%,1.12,0,,0
"25, 3.5, 145","+3,927.00 USD",+0.39%,"4,335.00 USD",0.43%,125,30.40%,1.325,0,,0
"25, 3.5, 25","−1,826.00 USD",−0.18%,"3,930.00 USD",0.39%,77,22.08%,0.683,0,,0
"25, 3.5, 35","−5,406.50 USD",−0.54%,"5,595.50 USD",0.56%,94,14.89%,0.25,0,,0
"25, 3.5, 45","−4,690.00 USD",−0.47%,"4,892.50 USD",0.49%,109,19.27%,0.47,0,,0
"25, 3.5, 55","−5,059.00 USD",−0.51%,"5,358.00 USD",0.54%,129,20.16%,0.547,0,,0
"25, 3.5, 65","−4,226.00 USD",−0.42%,"4,227.00 USD",0.42%,133,21.05%,0.608,0,,0
"25, 3.5, 75","−3,938.00 USD",−0.39%,"3,939.00 USD",0.39%,142,21.13%,0.645,0,,0
"25, 3.5, 85","−2,171.00 USD",−0.22%,"3,506.50 USD",0.35%,156,22.44%,0.816,0,,0
"25, 3.5, 95","−2,471.50 USD",−0.25%,"4,291.50 USD",0.43%,161,23.60%,0.787,0,,0
"25, 4, 105",−617.00 USD,−0.06%,"3,948.50 USD",0.39%,127,22.05%,0.952,0,,0
"25, 4, 115","−1,073.50 USD",−0.11%,"4,146.00 USD",0.41%,131,20.61%,0.924,0,,0
"25, 4, 125","+1,110.00 USD",+0.11%,"3,831.50 USD",0.38%,94,25.53%,1.108,0,,0
"25, 4, 135","+2,611.00 USD",+0.26%,"4,318.00 USD",0.43%,98,24.49%,1.241,0,,0
"25, 4, 145","+1,432.50 USD",+0.14%,"5,360.50 USD",0.53%,100,25.00%,1.119,0,,0
"25, 4, 25","−2,351.00 USD",−0.24%,"3,037.00 USD",0.30%,48,27.08%,0.47,0,,0
"25, 4, 35",+448.50 USD,+0.04%,"1,988.00 USD",0.20%,60,28.33%,1.123,0,,0
"25, 4, 45",+124.00 USD,+0.01%,"2,675.00 USD",0.27%,77,28.57%,1.027,0,,0
"25, 4, 55","+1,610.00 USD",+0.16%,"2,253.50 USD",0.23%,88,27.27%,1.309,0,,0
"25, 4, 65","−2,183.00 USD",−0.22%,"5,699.00 USD",0.57%,99,25.25%,0.768,0,,0
"25, 4, 75","−2,255.50 USD",−0.23%,"4,940.00 USD",0.49%,110,21.82%,0.75,0,,0
"25, 4, 85","−3,683.00 USD",−0.37%,"5,215.00 USD",0.52%,117,21.37%,0.658,0,,0
"25, 4, 95",−268.00 USD,−0.03%,"4,469.50 USD",0.45%,124,23.39%,0.976,0,,0
"25, 4.5, 105","+4,454.50 USD",+0.45%,"3,598.50 USD",0.36%,96,29.17%,1.528,0,,0
"25, 4.5, 115","+2,525.00 USD",+0.25%,"3,590.50 USD",0.36%,101,27.72%,1.246,0,,0
"25, 4.5, 125","+3,509.50 USD",+0.35%,"3,295.00 USD",0.33%,76,26.32%,1.459,0,,0
"25, 4.5, 135","+2,750.50 USD",+0.28%,"3,302.00 USD",0.33%,79,25.32%,1.329,0,,0
"25, 4.5, 145","+1,141.50 USD",+0.11%,"4,614.00 USD",0.46%,81,23.46%,1.121,0,,0
"25, 4.5, 25","+3,764.00 USD",+0.38%,"1,168.00 USD",0.12%,31,38.71%,4.064,0,,0
"25, 4.5, 35","+4,370.50 USD",+0.44%,820.50 USD,0.08%,46,45.65%,3.804,0,,0
"25, 4.5, 45","+2,891.50 USD",+0.29%,948.50 USD,0.09%,58,36.21%,2.012,0,,0
"25, 4.5, 55","+1,697.50 USD",+0.17%,"1,674.50 USD",0.17%,75,32.00%,1.369,0,,0
"25, 4.5, 65","+1,792.00 USD",+0.18%,"1,795.50 USD",0.18%,83,28.92%,1.345,0,,0
"25, 4.5, 75","+6,916.00 USD",+0.69%,"1,971.50 USD",0.20%,84,29.76%,2.233,0,,0
"25, 4.5, 85","+5,871.50 USD",+0.59%,"2,214.50 USD",0.22%,86,31.40%,1.943,0,,0
"25, 4.5, 95","+3,907.00 USD",+0.39%,"2,852.50 USD",0.28%,92,29.35%,1.515,0,,0
"25, 5, 105","+1,516.50 USD",+0.15%,"1,904.50 USD",0.19%,78,23.08%,1.227,0,,0
"25, 5, 115",+755.00 USD,+0.08%,"2,231.50 USD",0.22%,81,19.75%,1.103,0,,0
"25, 5, 125","+1,062.50 USD",+0.11%,"1,483.50 USD",0.15%,58,18.97%,1.185,0,,0
"25, 5, 135",+269.00 USD,+0.03%,"1,674.00 USD",0.17%,59,18.64%,1.043,0,,0
"25, 5, 145",+82.50 USD,+0.01%,"1,760.50 USD",0.18%,61,19.67%,1.012,0,,0
"25, 5, 25","−5,206.50 USD",−0.52%,"9,040.00 USD",0.90%,32,31.25%,0.401,0,,0
"25, 5, 35","−1,740.00 USD",−0.17%,"4,029.50 USD",0.40%,38,21.05%,0.593,0,,0
"25, 5, 45",−901.50 USD,−0.09%,"3,091.00 USD",0.31%,45,26.67%,0.795,0,,0
"25, 5, 55","−1,475.50 USD",−0.15%,"3,413.00 USD",0.34%,48,22.92%,0.701,0,,0
"25, 5, 65","+1,609.50 USD",+0.16%,"3,055.50 USD",0.31%,56,23.21%,1.356,0,,0
"25, 5, 75","+1,496.50 USD",+0.15%,"3,391.50 USD",0.34%,59,23.73%,1.306,0,,0
"25, 5, 85","+1,722.50 USD",+0.17%,"3,530.00 USD",0.35%,64,25.00%,1.323,0,,0
"25, 5, 95","+1,085.50 USD",+0.11%,"3,874.50 USD",0.39%,70,21.43%,1.182,0,,0
"25, 5.5, 105","+5,508.50 USD",+0.55%,"1,588.00 USD",0.16%,76,28.95%,1.465,0,,0
"25, 5.5, 115","+4,999.00 USD",+0.50%,"1,752.00 USD",0.17%,78,28.21%,1.344,0,,0
"25, 5.5, 125","+5,082.50 USD",+0.51%,"2,213.50 USD",0.22%,54,25.93%,1.431,0,,0
"25, 5.5, 135","+4,876.00 USD",+0.49%,"1,832.00 USD",0.18%,56,26.79%,1.42,0,,0
"25, 5.5, 145","+4,231.50 USD",+0.42%,"2,304.00 USD",0.23%,59,28.81%,1.755,0,,0
"25, 5.5, 25","+4,373.50 USD",+0.44%,"1,941.00 USD",0.19%,22,45.45%,9.686,0,,0
"25, 5.5, 35","+1,989.50 USD",+0.20%,"1,614.00 USD",0.16%,33,36.36%,2.556,0,,0
"25, 5.5, 45","+1,968.00 USD",+0.20%,965.00 USD,0.10%,40,32.50%,1.98,0,,0
"25, 5.5, 55","+2,137.50 USD",+0.21%,"1,878.00 USD",0.19%,47,27.66%,1.064,0,,0
"25, 5.5, 65","+3,289.50 USD",+0.33%,"2,158.00 USD",0.22%,61,29.51%,1.176,0,,0
"25, 5.5, 75","+1,680.50 USD",+0.17%,"2,488.00 USD",0.25%,67,25.37%,0.927,0,,0
"25, 5.5, 85","+1,002.00 USD",+0.10%,"3,087.00 USD",0.31%,73,21.92%,0.802,0,,0
"25, 5.5, 95","+4,081.00 USD",+0.41%,"1,975.50 USD",0.20%,75,26.67%,1.289,0,,0
"25, 6, 105","−2,980.00 USD",−0.30%,"3,803.00 USD",0.38%,59,20.34%,0.489,0,,0
"25, 6, 115","−2,569.00 USD",−0.26%,"3,611.50 USD",0.36%,65,23.08%,0.576,0,,0
"25, 6, 125","−2,325.50 USD",−0.23%,"3,274.00 USD",0.33%,47,23.40%,0.491,0,,0
"25, 6, 135","−2,489.50 USD",−0.25%,"3,614.00 USD",0.36%,49,22.45%,0.478,0,,0
"25, 6, 145","−3,295.00 USD",−0.33%,"4,125.50 USD",0.41%,50,18.00%,0.407,0,,0
"25, 6, 25",+672.00 USD,+0.07%,"3,442.50 USD",0.34%,19,52.63%,1.223,0,,0
"25, 6, 35","+1,417.00 USD",+0.14%,"4,033.00 USD",0.40%,26,42.31%,1.422,0,,0
"25, 6, 45","+1,138.00 USD",+0.11%,"4,131.00 USD",0.41%,28,35.71%,1.316,0,,0
"25, 6, 55","+1,974.50 USD",+0.20%,"2,912.00 USD",0.29%,33,30.30%,1.764,0,,0
"25, 6, 65","−2,279.00 USD",−0.23%,"4,450.00 USD",0.45%,44,29.55%,0.588,0,,0
"25, 6, 75",−605.50 USD,−0.06%,"2,586.00 USD",0.26%,50,26.00%,0.838,0,,0
"25, 6, 85","−1,156.50 USD",−0.12%,"2,939.50 USD",0.29%,52,23.08%,0.721,0,,0
"25, 6, 95","−2,134.00 USD",−0.21%,"3,210.50 USD",0.32%,56,23.21%,0.586,0,,0
"25, 6.5, 105","+2,001.50 USD",+0.20%,"4,352.00 USD",0.43%,46,15.22%,1.418,0,,0
"25, 6.5, 115","+1,332.50 USD",+0.13%,"4,914.50 USD",0.49%,48,14.58%,1.245,0,,0
"25, 6.5, 125","−2,684.00 USD",−0.27%,"5,006.50 USD",0.50%,38,10.53%,0.478,0,,0
"25, 6.5, 135","−2,930.50 USD",−0.29%,"5,158.00 USD",0.52%,38,10.53%,0.45,0,,0
"25, 6.5, 145","−3,152.00 USD",−0.32%,"5,158.00 USD",0.52%,39,10.26%,0.43,0,,0
"25, 6.5, 25",+740.00 USD,+0.07%,"1,565.00 USD",0.16%,13,23.08%,1.499,0,,0
"25, 6.5, 35","−2,446.00 USD",−0.24%,"6,981.50 USD",0.70%,20,20.00%,0.605,0,,0
"25, 6.5, 45","−2,840.50 USD",−0.28%,"7,252.50 USD",0.72%,24,20.83%,0.607,0,,0
"25, 6.5, 55","−2,231.50 USD",−0.22%,"7,586.00 USD",0.76%,32,18.75%,0.724,0,,0
"25, 6.5, 65","−1,378.00 USD",−0.14%,"7,689.50 USD",0.77%,35,22.86%,0.833,0,,0
"25, 6.5, 75","−2,774.50 USD",−0.28%,"10,198.50 USD",1.02%,38,21.05%,0.712,0,,0
